Leftname,Rightname,Label
/path/0024-1-11inv.png,/path/0024-3-22vni.png,1
/path/0005-6-12vni.png,/path/0027-1-31vni.png,0
/path/0029-6-22inv.png,/path/0029-1-23vni.png,1
/path/0047-7-32vni.png,/path/0047-2-31vni.png,1
/path/0016-2-22vni.png,/path/0016-6-22vni.png,1
/path/0029-8-21inv.png,/path/0023-6-11inv.png,0
/path/0020-8-22vni.png,/path/0024-1-32inv.png,0
/path/0024-2-21inv.png,/path/0024-8-22vni.png,1
/path/0004-4-11vni.png,/path/0014-6-22vni.png,0
/path/0012-8-22vni.png,/path/0012-2-12vni.png,1
/path/0002-7-11inv.png,/path/0029-3-11inv.png,0
/path/0024-3-31inv.png,/path/0024-2-22vni.png,1
/path/0017-1-22vni.png,/path/0027-2-11vni.png,0
/path/0012-2-11inv.png,/path/0025-7-12vni.png,0
/path/0018-1-12vni.png,/path/0018-3-32vni.png,1
/path/0029-1-11inv.png,/path/0029-8-31vni.png,1
/path/0042-7-11vni.png,/path/0005-1-21inv.png,0
/path/0025-1-13vni.png,/path/0025-7-31vni.png,1
/path/0016-7-21vni.png,/path/0016-7-12vni.png,1
/path/0013-3-23inv.png,/path/0013-6-23inv.png,1
/path/0041-4-11vni.png,/path/0012-8-23inv.png,0
/path/0014-1-21vni.png,/path/0014-1-21inv.png,1
/path/0020-3-22inv.png,/path/0042-3-12inv.png,0
/path/0022-2-22inv.png,/path/0022-6-11vni.png,1
/path/0023-1-31inv.png,/path/0026-6-22vni.png,0
/path/0041-8-12inv.png,/path/0041-7-22vni.png,1
/path/0025-1-42vni.png,/path/0025-2-41inv.png,1
/path/0029-1-23vni.png,/path/0025-7-21vni.png,0
/path/0004-4-32inv.png,/path/0047-3-32vni.png,0
/path/0017-1-21inv.png,/path/0006-8-21inv.png,0
/path/0004-2-11inv.png,/path/0004-1-11inv.png,1
/path/0029-8-23vni.png,/path/0029-7-22vni.png,1
/path/0018-3-12inv.png,/path/0018-2-11vni.png,1
/path/0021-8-22inv.png,/path/0021-1-31inv.png,1
/path/0017-3-11vni.png,/path/0017-3-11inv.png,1
/path/0013-6-11vni.png,/path/0025-2-41vni.png,0
/path/0024-2-12inv.png,/path/0023-2-31vni.png,0
/path/0025-4-32vni.png,/path/0017-1-14vni.png,0
/path/0041-3-31inv.png,/path/0006-1-31vni.png,0
/path/0024-8-32vni.png,/path/0047-8-32vni.png,0
/path/0024-3-32inv.png,/path/0029-2-32inv.png,0
/path/0021-6-21inv.png,/path/0021-1-21vni.png,1
/path/0022-4-22vni.png,/path/0022-8-32vni.png,1
/path/0025-3-43vni.png,/path/0005-6-32vni.png,0
/path/0004-1-12inv.png,/path/0029-2-22vni.png,0
/path/0024-2-21inv.png,/path/0024-1-21vni.png,1
/path/0029-7-11inv.png,/path/0029-8-33inv.png,1
/path/0017-2-32inv.png,/path/0041-4-11inv.png,0
/path/0023-8-11inv.png,/path/0023-1-21vni.png,1
/path/0023-8-32vni.png,/path/0018-4-31inv.png,0
/path/0047-3-21inv.png,/path/0013-2-31inv.png,0
/path/0017-6-32vni.png,/path/0017-7-23vni.png,1
/path/0024-6-12inv.png,/path/0006-6-22inv.png,0
/path/0005-8-31vni.png,/path/0005-1-11inv.png,1
/path/0013-7-12inv.png,/path/0013-3-13vni.png,1
/path/0047-8-11inv.png,/path/0047-7-11vni.png,1
/path/0025-2-22inv.png,/path/0025-1-12vni.png,1
/path/0005-4-31vni.png,/path/0005-7-21inv.png,1
/path/0050-1-32inv.png,/path/0022-4-21vni.png,0
/path/0022-4-11inv.png,/path/0022-3-11vni.png,1
/path/0004-4-11inv.png,/path/0004-8-33inv.png,1
/path/0047-2-31vni.png,/path/0047-8-11vni.png,1
/path/0023-4-12vni.png,/path/0023-6-12vni.png,1
/path/0017-1-11vni.png,/path/0041-3-31vni.png,0
/path/0023-1-12vni.png,/path/0023-8-31vni.png,1
/path/0028-4-21inv.png,/path/0001-8-11inv.png,0
/path/0023-4-12inv.png,/path/0047-1-21inv.png,0
/path/0005-3-33vni.png,/path/0005-7-31vni.png,1
/path/0018-6-21vni.png,/path/0023-2-31inv.png,0
/path/0016-8-21inv.png,/path/0012-3-32inv.png,0
/path/0006-1-11vni.png,/path/0006-1-12inv.png,1
/path/0050-4-31inv.png,/path/0016-3-31inv.png,0
/path/0016-3-12inv.png,/path/0016-6-31inv.png,1
/path/0016-3-32vni.png,/path/0022-7-21vni.png,0
/path/0021-8-12vni.png,/path/0020-2-22vni.png,0
/path/0012-3-13vni.png,/path/0004-6-32vni.png,0
/path/0018-3-21vni.png,/path/0006-3-21inv.png,0
/path/0004-7-11vni.png,/path/0004-8-22vni.png,1
/path/0005-6-11vni.png,/path/0005-6-31inv.png,1
/path/0041-8-22inv.png,/path/0041-1-21inv.png,1
/path/0003-3-31inv.png,/path/0003-8-21inv.png,1
/path/0013-6-12inv.png,/path/0013-1-23inv.png,1
/path/0016-2-12inv.png,/path/0016-1-31vni.png,1
/path/0024-8-13vni.png,/path/0006-8-21inv.png,0
/path/0021-7-11vni.png,/path/0021-3-22inv.png,1
/path/0022-4-21inv.png,/path/0012-4-22vni.png,0
/path/0041-8-31vni.png,/path/0027-7-21vni.png,0
/path/0047-8-11inv.png,/path/0047-8-32vni.png,1
/path/0017-6-31vni.png,/path/0017-8-33vni.png,1
/path/0020-4-31inv.png,/path/0020-1-13vni.png,1
/path/0018-7-21inv.png,/path/0041-7-32inv.png,0
/path/0003-3-22inv.png,/path/0016-2-41vni.png,0
/path/0004-8-12inv.png,/path/0004-7-42inv.png,1
/path/0004-1-23vni.png,/path/0004-7-31vni.png,1
/path/0029-2-12vni.png,/path/0016-3-22inv.png,0
/path/0024-2-22vni.png,/path/0025-6-12vni.png,0
/path/0017-6-11vni.png,/path/0042-1-31inv.png,0
/path/0042-4-11vni.png,/path/0021-7-22inv.png,0
/path/0021-6-22inv.png,/path/0021-7-31vni.png,1
/path/0027-8-21inv.png,/path/0029-8-21vni.png,0
/path/0024-6-31inv.png,/path/0024-4-11inv.png,1
/path/0025-7-12vni.png,/path/0028-6-22inv.png,0
/path/0041-8-21vni.png,/path/0020-7-12vni.png,0
/path/0020-1-32inv.png,/path/0020-7-22inv.png,1
/path/0012-1-32vni.png,/path/0012-7-31inv.png,1
/path/0006-8-21vni.png,/path/0022-7-22vni.png,0
/path/0005-3-22inv.png,/path/0017-8-11vni.png,0
/path/0024-7-11inv.png,/path/0024-4-21vni.png,1
/path/0029-1-33inv.png,/path/0020-7-22vni.png,0
/path/0020-3-22inv.png,/path/0023-1-23inv.png,0
/path/0020-7-21inv.png,/path/0020-3-23inv.png,1
/path/0026-7-11vni.png,/path/0028-7-31inv.png,0
/path/0006-4-21vni.png,/path/0006-3-11vni.png,1
/path/0026-2-21inv.png,/path/0025-1-31inv.png,0
/path/0017-6-32vni.png,/path/0014-6-22vni.png,0
/path/0021-8-12vni.png,/path/0021-3-32inv.png,1
/path/0018-1-23vni.png,/path/0042-7-31inv.png,0
/path/0012-1-23inv.png,/path/0012-8-23inv.png,1
/path/0013-4-32vni.png,/path/0013-8-32inv.png,1
/path/0012-1-32vni.png,/path/0012-8-11inv.png,1
/path/0005-6-11inv.png,/path/0005-4-21vni.png,1
/path/0005-8-32inv.png,/path/0005-7-22inv.png,1
/path/0023-6-31vni.png,/path/0042-3-12vni.png,0
/path/0025-7-42vni.png,/path/0025-3-33vni.png,1
/path/0014-6-12inv.png,/path/0041-1-11vni.png,0
/path/0023-3-32vni.png,/path/0024-1-13vni.png,0
/path/0023-8-42vni.png,/path/0020-7-21vni.png,0
/path/0023-7-11inv.png,/path/0023-3-12inv.png,1
/path/0006-3-21vni.png,/path/0016-6-21vni.png,0
/path/0006-8-21vni.png,/path/0006-6-21inv.png,1
/path/0013-3-21vni.png,/path/0020-1-13vni.png,0
/path/0028-6-21inv.png,/path/0050-3-22inv.png,0
/path/0017-1-13inv.png,/path/0041-6-11inv.png,0
/path/0041-6-22vni.png,/path/0041-3-22inv.png,1
/path/0025-6-31inv.png,/path/0025-2-31inv.png,1
/path/0015-8-11inv.png,/path/0006-8-22vni.png,0
/path/0012-4-22vni.png,/path/0012-2-31inv.png,1
/path/0029-3-31inv.png,/path/0029-7-22vni.png,1
/path/0023-1-21vni.png,/path/0023-4-21vni.png,1
/path/0042-1-22vni.png,/path/0022-4-22inv.png,0
/path/0012-7-33inv.png,/path/0013-6-32vni.png,0
/path/0005-8-12vni.png,/path/0004-3-21vni.png,0
/path/0018-7-12inv.png,/path/0018-7-31inv.png,1
/path/0004-7-22inv.png,/path/0004-7-21vni.png,1
/path/0025-8-22vni.png,/path/0025-1-41inv.png,1
/path/0013-4-31inv.png,/path/0020-3-31inv.png,0
/path/0050-3-21inv.png,/path/0020-1-32inv.png,0
/path/0025-4-12vni.png,/path/0025-7-12inv.png,1
/path/0005-1-12inv.png,/path/0047-1-31vni.png,0
/path/0042-1-23vni.png,/path/0022-1-32inv.png,0
/path/0028-4-11inv.png,/path/0028-4-21vni.png,1
/path/0050-4-31inv.png,/path/0018-8-21inv.png,0
/path/0014-1-11vni.png,/path/0003-6-12inv.png,0
/path/0016-1-11inv.png,/path/0021-3-11inv.png,0
/path/0023-3-13inv.png,/path/0023-3-23inv.png,1
