TrainPath,TrainID,TrainForm,,TestPath,TestID,TestForm
/directory/IAM/Forms/a01-000u.png,Iam-0000,a01-000u,,/directory/IAM/Forms/m04-231.png,Iam-0550,m04-231
/directory/IAM/Forms/a01-003u.png,Iam-0000,a01-003u,,/directory/IAM/Forms/m04-238.png,Iam-0550,m04-238
/directory/IAM/Forms/a01-007u.png,Iam-0000,a01-007u,,/directory/IAM/Forms/m04-246.png,Iam-0550,m04-246
/directory/IAM/Forms/a01-011u.png,Iam-0000,a01-011u,,/directory/IAM/Forms/n04-000.png,Iam-0550,n04-000
/directory/IAM/Forms/a01-014u.png,Iam-0000,a01-014u,,/directory/IAM/Forms/n04-009.png,Iam-0550,n04-009
/directory/IAM/Forms/a01-020u.png,Iam-0000,a01-020u,,/directory/IAM/Forms/m06-019.png,Iam-0551,m06-019
/directory/IAM/Forms/a01-026u.png,Iam-0000,a01-026u,,/directory/IAM/Forms/n06-148.png,Iam-0551,n06-148
/directory/IAM/Forms/a01-030u.png,Iam-0000,a01-030u,,/directory/IAM/Forms/n06-156.png,Iam-0551,n06-156
/directory/IAM/Forms/a01-043u.png,Iam-0000,a01-043u,,/directory/IAM/Forms/n06-163.png,Iam-0551,n06-163
/directory/IAM/Forms/a01-049u.png,Iam-0000,a01-049u,,/directory/IAM/Forms/n06-169.png,Iam-0551,n06-169
/directory/IAM/Forms/a01-049x.png,Iam-0000,a01-049x,,/directory/IAM/Forms/n06-175.png,Iam-0551,n06-175
/directory/IAM/Forms/a01-053u.png,Iam-0000,a01-053u,,/directory/IAM/Forms/n06-182.png,Iam-0551,n06-182
/directory/IAM/Forms/a01-058u.png,Iam-0000,a01-058u,,/directory/IAM/Forms/n06-186.png,Iam-0551,n06-186
/directory/IAM/Forms/a01-063u.png,Iam-0000,a01-063u,,/directory/IAM/Forms/n06-194.png,Iam-0551,n06-194
/directory/IAM/Forms/a01-068u.png,Iam-0000,a01-068u,,/directory/IAM/Forms/n06-201.png,Iam-0551,n06-201
/directory/IAM/Forms/a01-072u.png,Iam-0000,a01-072u,,/directory/IAM/Forms/n01-000.png,Iam-0553,n01-000
/directory/IAM/Forms/a01-077u.png,Iam-0000,a01-077u,,/directory/IAM/Forms/n01-009.png,Iam-0553,n01-009
/directory/IAM/Forms/a01-082u.png,Iam-0000,a01-082u,,/directory/IAM/Forms/n01-004.png,Iam-0554,n01-004
/directory/IAM/Forms/a01-087u.png,Iam-0000,a01-087u,,/directory/IAM/Forms/n01-020.png,Iam-0555,n01-020
/directory/IAM/Forms/a01-091u.png,Iam-0000,a01-091u,,/directory/IAM/Forms/n01-031.png,Iam-0555,n01-031
/directory/IAM/Forms/a01-096u.png,Iam-0000,a01-096u,,/directory/IAM/Forms/n01-045.png,Iam-0555,n01-045
/directory/IAM/Forms/a01-102u.png,Iam-0000,a01-102u,,/directory/IAM/Forms/n01-036.png,Iam-0556,n01-036
/directory/IAM/Forms/a01-107u.png,Iam-0000,a01-107u,,/directory/IAM/Forms/n01-052.png,Iam-0557,n01-052
/directory/IAM/Forms/a01-113u.png,Iam-0000,a01-113u,,/directory/IAM/Forms/n01-057.png,Iam-0558,n01-057
/directory/IAM/Forms/a01-117u.png,Iam-0000,a01-117u,,/directory/IAM/Forms/n02-000.png,Iam-0559,n02-000
/directory/IAM/Forms/a01-122u.png,Iam-0000,a01-122u,,/directory/IAM/Forms/n02-016.png,Iam-0559,n02-016
/directory/IAM/Forms/a01-128u.png,Iam-0000,a01-128u,,/directory/IAM/Forms/n02-004.png,Iam-0560,n02-004
/directory/IAM/Forms/a01-132u.png,Iam-0000,a01-132u,,/directory/IAM/Forms/n02-009.png,Iam-0560,n02-009
/directory/IAM/Forms/a01-132x.png,Iam-0000,a01-132x,,/directory/IAM/Forms/n02-028.png,Iam-0561,n02-028
/directory/IAM/Forms/a03-050.png,Iam-0000,a03-050,,/directory/IAM/Forms/n02-049.png,Iam-0561,n02-049
/directory/IAM/Forms/a03-071.png,Iam-0000,a03-071,,/directory/IAM/Forms/n02-033.png,Iam-0562,n02-033
/directory/IAM/Forms/a03-073.png,Iam-0000,a03-073,,/directory/IAM/Forms/n02-037.png,Iam-0562,n02-037
/directory/IAM/Forms/a03-080.png,Iam-0000,a03-080,,/directory/IAM/Forms/n02-040.png,Iam-0563,n02-040
/directory/IAM/Forms/a03-089.png,Iam-0000,a03-089,,/directory/IAM/Forms/n02-045.png,Iam-0563,n02-045
/directory/IAM/Forms/a05-000.png,Iam-0000,a05-000,,/directory/IAM/Forms/n02-054.png,Iam-0564,n02-054
/directory/IAM/Forms/a05-013.png,Iam-0000,a05-013,,/directory/IAM/Forms/n02-062.png,Iam-0565,n02-062
/directory/IAM/Forms/a05-017.png,Iam-0000,a05-017,,/directory/IAM/Forms/n02-082a.png,Iam-0566,n02-082a
/directory/IAM/Forms/a05-022.png,Iam-0000,a05-022,,/directory/IAM/Forms/n02-098.png,Iam-0567,n02-098
/directory/IAM/Forms/a05-025.png,Iam-0000,a05-025,,/directory/IAM/Forms/p03-057.png,Iam-0567,p03-057
/directory/IAM/Forms/a05-029.png,Iam-0000,a05-029,,/directory/IAM/Forms/p03-087.png,Iam-0567,p03-087
/directory/IAM/Forms/a05-039.png,Iam-0000,a05-039,,/directory/IAM/Forms/p03-096.png,Iam-0567,p03-096
/directory/IAM/Forms/a05-044.png,Iam-0000,a05-044,,/directory/IAM/Forms/p03-103.png,Iam-0567,p03-103
/directory/IAM/Forms/a05-048.png,Iam-0000,a05-048,,/directory/IAM/Forms/p03-112.png,Iam-0567,p03-112
/directory/IAM/Forms/a05-053.png,Iam-0000,a05-053,,/directory/IAM/Forms/n02-151.png,Iam-0568,n02-151
/directory/IAM/Forms/a05-058.png,Iam-0000,a05-058,,/directory/IAM/Forms/n02-154.png,Iam-0569,n02-154
/directory/IAM/Forms/a05-062.png,Iam-0000,a05-062,,/directory/IAM/Forms/n02-157.png,Iam-0570,n02-157
/directory/IAM/Forms/a05-069.png,Iam-0000,a05-069,,/directory/IAM/Forms/n03-038.png,Iam-0571,n03-038
/directory/IAM/Forms/a05-073.png,Iam-0000,a05-073,,/directory/IAM/Forms/n03-064.png,Iam-0572,n03-064
/directory/IAM/Forms/a05-080.png,Iam-0000,a05-080,,/directory/IAM/Forms/n03-066.png,Iam-0573,n03-066
